,setting,year,indicator_abbr,indicator_name,Avg estimate,Funding Agency Acronym,Constant Dollar Amount
28,Ecuador,2002,u5mr,Under-five mortality rate,-2.65,TDA,1638316.0
29,Ecuador,2002,u5mr,Under-five mortality rate,-2.65,USAID,37389886.0
30,Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,AGR,717869.0
31,Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,DOL,2774839.0
32,Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,IAF,460373.0
33,Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,PC,4125431.0
34,Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,STATE,43133472.0
35,Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,USAID,21095003.0
36,Ecuador,2003,hh_wat_sm,Population using safely managed drinking water services (%),56.5,AGR,717869.0
37,Ecuador,2003,hh_wat_sm,Population using safely managed drinking water services (%),56.5,DOL,2774839.0
38,Ecuador,2003,hh_wat_sm,Population using safely managed drinking water services (%),56.5,IAF,460373.0
39,Ecuador,2003,hh_wat_sm,Population using safely managed drinking water services (%),56.5,PC,4125431.0
40,Ecuador,2003,hh_wat_sm,Population using safely managed drinking water services (%),56.5,STATE,43133472.0
41,Ecuador,2003,hh_wat_sm,Population using safely managed drinking water services (%),56.5,USAID,21095003.0
42,Ecuador,2003,life_ex,Life Expectancy,73.9,AGR,717869.0
43,Ecuador,2003,life_ex,Life Expectancy,73.9,DOL,2774839.0
44,Ecuador,2003,life_ex,Life Expectancy,73.9,IAF,460373.0
45,Ecuador,2003,life_ex,Life Expectancy,73.9,PC,4125431.0
46,Ecuador,2003,life_ex,Life Expectancy,73.9,STATE,43133472.0
47,Ecuador,2003,life_ex,Life Expectancy,73.9,USAID,21095003.0
48,Ecuador,2003,obesitya,Obesity prevalence among adults (%),-13.0,AGR,717869.0
49,Ecuador,2003,obesitya,Obesity prevalence among adults (%),-13.0,DOL,2774839.0
50,Ecuador,2003,obesitya,Obesity prevalence among adults (%),-13.0,IAF,460373.0
51,Ecuador,2003,obesitya,Obesity prevalence among adults (%),-13.0,PC,4125431.0
52,Ecuador,2003,obesitya,Obesity prevalence among adults (%),-13.0,STATE,43133472.0
53,Ecuador,2003,obesitya,Obesity prevalence among adults (%),-13.0,USAID,21095003.0
54,Ecuador,2003,u5mr,Under-five mortality rate,-2.5,AGR,717869.0
55,Ecuador,2003,u5mr,Under-five mortality rate,-2.5,DOL,2774839.0
56,Ecuador,2003,u5mr,Under-five mortality rate,-2.5,IAF,460373.0
57,Ecuador,2003,u5mr,Under-five mortality rate,-2.5,PC,4125431.0
58,Ecuador,2003,u5mr,Under-five mortality rate,-2.5,STATE,43133472.0
59,Ecuador,2003,u5mr,Under-five mortality rate,-2.5,USAID,21095003.0
60,Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,AGR,14587462.0
61,Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,DOL,4038229.0
62,Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,IAF,1055291.0
63,Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,PC,4031498.0
64,Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,STATE,23708758.0
65,Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,TDA,11778.0
66,Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,TREAS,134608.0
67,Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,USAID,41471810.0
68,Ecuador,2004,hh_wat_sm,Population using safely managed drinking water services (%),57.5,AGR,14587462.0
69,Ecuador,2004,hh_wat_sm,Population using safely managed drinking water services (%),57.5,DOL,4038229.0
70,Ecuador,2004,hh_wat_sm,Population using safely managed drinking water services (%),57.5,IAF,1055291.0
71,Ecuador,2004,hh_wat_sm,Population using safely managed drinking water services (%),57.5,PC,4031498.0
72,Ecuador,2004,hh_wat_sm,Population using safely managed drinking water services (%),57.5,STATE,23708758.0
73,Ecuador,2004,hh_wat_sm,Population using safely managed drinking water services (%),57.5,TDA,11778.0
74,Ecuador,2004,hh_wat_sm,Population using safely managed drinking water services (%),57.5,TREAS,134608.0
75,Ecuador,2004,hh_wat_sm,Population using safely managed drinking water services (%),57.5,USAID,41471810.0
76,Ecuador,2004,life_ex,Life Expectancy,73.6,AGR,14587462.0
77,Ecuador,2004,life_ex,Life Expectancy,73.6,DOL,4038229.0
78,Ecuador,2004,life_ex,Life Expectancy,73.6,IAF,1055291.0
79,Ecuador,2004,life_ex,Life Expectancy,73.6,PC,4031498.0
80,Ecuador,2004,life_ex,Life Expectancy,73.6,STATE,23708758.0
81,Ecuador,2004,life_ex,Life Expectancy,73.6,TDA,11778.0
82,Ecuador,2004,life_ex,Life Expectancy,73.6,TREAS,134608.0
83,Ecuador,2004,life_ex,Life Expectancy,73.6,USAID,41471810.0
84,Ecuador,2004,obesitya,Obesity prevalence among adults (%),-13.5,AGR,14587462.0
85,Ecuador,2004,obesitya,Obesity prevalence among adults (%),-13.5,DOL,4038229.0
86,Ecuador,2004,obesitya,Obesity prevalence among adults (%),-13.5,IAF,1055291.0
87,Ecuador,2004,obesitya,Obesity prevalence among adults (%),-13.5,PC,4031498.0
88,Ecuador,2004,obesitya,Obesity prevalence among adults (%),-13.5,STATE,23708758.0
89,Ecuador,2004,obesitya,Obesity prevalence among adults (%),-13.5,TDA,11778.0
90,Ecuador,2004,obesitya,Obesity prevalence among adults (%),-13.5,TREAS,134608.0
91,Ecuador,2004,obesitya,Obesity prevalence among adults (%),-13.5,USAID,41471810.0
92,Ecuador,2004,u5mr,Under-five mortality rate,-2.4000000000000004,AGR,14587462.0
93,Ecuador,2004,u5mr,Under-five mortality rate,-2.4000000000000004,DOL,4038229.0
94,Ecuador,2004,u5mr,Under-five mortality rate,-2.4000000000000004,IAF,1055291.0
95,Ecuador,2004,u5mr,Under-five mortality rate,-2.4000000000000004,PC,4031498.0
96,Ecuador,2004,u5mr,Under-five mortality rate,-2.4000000000000004,STATE,23708758.0
97,Ecuador,2004,u5mr,Under-five mortality rate,-2.4000000000000004,TDA,11778.0
98,Ecuador,2004,u5mr,Under-five mortality rate,-2.4000000000000004,TREAS,134608.0
99,Ecuador,2004,u5mr,Under-five mortality rate,-2.4000000000000004,USAID,41471810.0
100,Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,AGR,4133438.0
101,Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,DOC,78370.0
102,Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,DOL,7836724.0
103,Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,IAF,384091.0
104,Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,PC,3306562.0
105,Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,STATE,20996897.0
106,Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,TDA,374331.0
107,Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,USAID,25160266.0
108,Ecuador,2005,hh_wat_sm,Population using safely managed drinking water services (%),57.5,AGR,4133438.0
109,Ecuador,2005,hh_wat_sm,Population using safely managed drinking water services (%),57.5,DOC,78370.0
110,Ecuador,2005,hh_wat_sm,Population using safely managed drinking water services (%),57.5,DOL,7836724.0
111,Ecuador,2005,hh_wat_sm,Population using safely managed drinking water services (%),57.5,IAF,384091.0
112,Ecuador,2005,hh_wat_sm,Population using safely managed drinking water services (%),57.5,PC,3306562.0
113,Ecuador,2005,hh_wat_sm,Population using safely managed drinking water services (%),57.5,STATE,20996897.0
114,Ecuador,2005,hh_wat_sm,Population using safely managed drinking water services (%),57.5,TDA,374331.0
115,Ecuador,2005,hh_wat_sm,Population using safely managed drinking water services (%),57.5,USAID,25160266.0
116,Ecuador,2005,life_ex,Life Expectancy,73.6,AGR,4133438.0
117,Ecuador,2005,life_ex,Life Expectancy,73.6,DOC,78370.0
118,Ecuador,2005,life_ex,Life Expectancy,73.6,DOL,7836724.0
119,Ecuador,2005,life_ex,Life Expectancy,73.6,IAF,384091.0
120,Ecuador,2005,life_ex,Life Expectancy,73.6,PC,3306562.0
121,Ecuador,2005,life_ex,Life Expectancy,73.6,STATE,20996897.0
122,Ecuador,2005,life_ex,Life Expectancy,73.6,TDA,374331.0
123,Ecuador,2005,life_ex,Life Expectancy,73.6,USAID,25160266.0
124,Ecuador,2005,obesitya,Obesity prevalence among adults (%),-14.0,AGR,4133438.0
125,Ecuador,2005,obesitya,Obesity prevalence among adults (%),-14.0,DOC,78370.0
126,Ecuador,2005,obesitya,Obesity prevalence among adults (%),-14.0,DOL,7836724.0
127,Ecuador,2005,obesitya,Obesity prevalence among adults (%),-14.0,IAF,384091.0
128,Ecuador,2005,obesitya,Obesity prevalence among adults (%),-14.0,PC,3306562.0
129,Ecuador,2005,obesitya,Obesity prevalence among adults (%),-14.0,STATE,20996897.0
130,Ecuador,2005,obesitya,Obesity prevalence among adults (%),-14.0,TDA,374331.0
131,Ecuador,2005,obesitya,Obesity prevalence among adults (%),-14.0,USAID,25160266.0
132,Ecuador,2005,u5mr,Under-five mortality rate,-2.35,AGR,4133438.0
133,Ecuador,2005,u5mr,Under-five mortality rate,-2.35,DOC,78370.0
134,Ecuador,2005,u5mr,Under-five mortality rate,-2.35,DOL,7836724.0
135,Ecuador,2005,u5mr,Under-five mortality rate,-2.35,IAF,384091.0
136,Ecuador,2005,u5mr,Under-five mortality rate,-2.35,PC,3306562.0
137,Ecuador,2005,u5mr,Under-five mortality rate,-2.35,STATE,20996897.0
138,Ecuador,2005,u5mr,Under-five mortality rate,-2.35,TDA,374331.0
139,Ecuador,2005,u5mr,Under-five mortality rate,-2.35,USAID,25160266.0
140,Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,AGR,9485059.0
141,Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,IAF,1900147.0
142,Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,PC,3446561.0
143,Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,STATE,22026035.0
144,Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,USAID,19313805.0
145,Ecuador,2006,hh_wat_sm,Population using safely managed drinking water services (%),58.5,AGR,9485059.0
146,Ecuador,2006,hh_wat_sm,Population using safely managed drinking water services (%),58.5,IAF,1900147.0
147,Ecuador,2006,hh_wat_sm,Population using safely managed drinking water services (%),58.5,PC,3446561.0
148,Ecuador,2006,hh_wat_sm,Population using safely managed drinking water services (%),58.5,STATE,22026035.0
149,Ecuador,2006,hh_wat_sm,Population using safely managed drinking water services (%),58.5,USAID,19313805.0
150,Ecuador,2006,life_ex,Life Expectancy,73.7,AGR,9485059.0
151,Ecuador,2006,life_ex,Life Expectancy,73.7,IAF,1900147.0
152,Ecuador,2006,life_ex,Life Expectancy,73.7,PC,3446561.0
153,Ecuador,2006,life_ex,Life Expectancy,73.7,STATE,22026035.0
154,Ecuador,2006,life_ex,Life Expectancy,73.7,USAID,19313805.0
155,Ecuador,2006,obesitya,Obesity prevalence among adults (%),-14.5,AGR,9485059.0
156,Ecuador,2006,obesitya,Obesity prevalence among adults (%),-14.5,IAF,1900147.0
157,Ecuador,2006,obesitya,Obesity prevalence among adults (%),-14.5,PC,3446561.0
158,Ecuador,2006,obesitya,Obesity prevalence among adults (%),-14.5,STATE,22026035.0
159,Ecuador,2006,obesitya,Obesity prevalence among adults (%),-14.5,USAID,19313805.0
160,Ecuador,2006,u5mr,Under-five mortality rate,-2.25,AGR,9485059.0
161,Ecuador,2006,u5mr,Under-five mortality rate,-2.25,IAF,1900147.0
162,Ecuador,2006,u5mr,Under-five mortality rate,-2.25,PC,3446561.0
163,Ecuador,2006,u5mr,Under-five mortality rate,-2.25,STATE,22026035.0
164,Ecuador,2006,u5mr,Under-five mortality rate,-2.25,USAID,19313805.0
165,Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,DOC,2177.0
166,Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,DOE,148102.0
167,Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,DOL,117053.0
168,Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,HHS,146131.0
169,Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,IAF,1957426.0
170,Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,PC,3490134.0
171,Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,STATE,13827790.0
172,Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,USAID,9911075.0
173,Ecuador,2007,hh_wat_sm,Population using safely managed drinking water services (%),58.5,DOC,2177.0
174,Ecuador,2007,hh_wat_sm,Population using safely managed drinking water services (%),58.5,DOE,148102.0
175,Ecuador,2007,hh_wat_sm,Population using safely managed drinking water services (%),58.5,DOL,117053.0
176,Ecuador,2007,hh_wat_sm,Population using safely managed drinking water services (%),58.5,HHS,146131.0
177,Ecuador,2007,hh_wat_sm,Population using safely managed drinking water services (%),58.5,IAF,1957426.0
178,Ecuador,2007,hh_wat_sm,Population using safely managed drinking water services (%),58.5,PC,3490134.0
179,Ecuador,2007,hh_wat_sm,Population using safely managed drinking water services (%),58.5,STATE,13827790.0
180,Ecuador,2007,hh_wat_sm,Population using safely managed drinking water services (%),58.5,USAID,9911075.0
181,Ecuador,2007,life_ex,Life Expectancy,73.8,DOC,2177.0
182,Ecuador,2007,life_ex,Life Expectancy,73.8,DOE,148102.0
183,Ecuador,2007,life_ex,Life Expectancy,73.8,DOL,117053.0
184,Ecuador,2007,life_ex,Life Expectancy,73.8,HHS,146131.0
185,Ecuador,2007,life_ex,Life Expectancy,73.8,IAF,1957426.0
186,Ecuador,2007,life_ex,Life Expectancy,73.8,PC,3490134.0
187,Ecuador,2007,life_ex,Life Expectancy,73.8,STATE,13827790.0
188,Ecuador,2007,life_ex,Life Expectancy,73.8,USAID,9911075.0
189,Ecuador,2007,obesitya,Obesity prevalence among adults (%),-15.0,DOC,2177.0
190,Ecuador,2007,obesitya,Obesity prevalence among adults (%),-15.0,DOE,148102.0
191,Ecuador,2007,obesitya,Obesity prevalence among adults (%),-15.0,DOL,117053.0
192,Ecuador,2007,obesitya,Obesity prevalence among adults (%),-15.0,HHS,146131.0
193,Ecuador,2007,obesitya,Obesity prevalence among adults (%),-15.0,IAF,1957426.0
194,Ecuador,2007,obesitya,Obesity prevalence among adults (%),-15.0,PC,3490134.0
195,Ecuador,2007,obesitya,Obesity prevalence among adults (%),-15.0,STATE,13827790.0
196,Ecuador,2007,obesitya,Obesity prevalence among adults (%),-15.0,USAID,9911075.0
197,Ecuador,2007,u5mr,Under-five mortality rate,-2.15,DOC,2177.0
198,Ecuador,2007,u5mr,Under-five mortality rate,-2.15,DOE,148102.0
199,Ecuador,2007,u5mr,Under-five mortality rate,-2.15,DOL,117053.0
200,Ecuador,2007,u5mr,Under-five mortality rate,-2.15,HHS,146131.0
201,Ecuador,2007,u5mr,Under-five mortality rate,-2.15,IAF,1957426.0
202,Ecuador,2007,u5mr,Under-five mortality rate,-2.15,PC,3490134.0
203,Ecuador,2007,u5mr,Under-five mortality rate,-2.15,STATE,13827790.0
204,Ecuador,2007,u5mr,Under-five mortality rate,-2.15,USAID,9911075.0
205,Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,AGR,1077861.0
206,Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,DOE,48286.0
207,Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,HHS,150290.0
208,Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,IAF,1646716.0
209,Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,PC,3199786.0
210,Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,STATE,3787016.0
211,Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,TREAS,250365.0
212,Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,USAID,25202633.0
213,Ecuador,2008,hh_wat_sm,Population using safely managed drinking water services (%),59.0,AGR,1077861.0
214,Ecuador,2008,hh_wat_sm,Population using safely managed drinking water services (%),59.0,DOE,48286.0
215,Ecuador,2008,hh_wat_sm,Population using safely managed drinking water services (%),59.0,HHS,150290.0
216,Ecuador,2008,hh_wat_sm,Population using safely managed drinking water services (%),59.0,IAF,1646716.0
217,Ecuador,2008,hh_wat_sm,Population using safely managed drinking water services (%),59.0,PC,3199786.0
218,Ecuador,2008,hh_wat_sm,Population using safely managed drinking water services (%),59.0,STATE,3787016.0
219,Ecuador,2008,hh_wat_sm,Population using safely managed drinking water services (%),59.0,TREAS,250365.0
220,Ecuador,2008,hh_wat_sm,Population using safely managed drinking water services (%),59.0,USAID,25202633.0
221,Ecuador,2008,life_ex,Life Expectancy,74.1,AGR,1077861.0
222,Ecuador,2008,life_ex,Life Expectancy,74.1,DOE,48286.0
223,Ecuador,2008,life_ex,Life Expectancy,74.1,HHS,150290.0
224,Ecuador,2008,life_ex,Life Expectancy,74.1,IAF,1646716.0
225,Ecuador,2008,life_ex,Life Expectancy,74.1,PC,3199786.0
226,Ecuador,2008,life_ex,Life Expectancy,74.1,STATE,3787016.0
227,Ecuador,2008,life_ex,Life Expectancy,74.1,TREAS,250365.0
228,Ecuador,2008,life_ex,Life Expectancy,74.1,USAID,25202633.0
229,Ecuador,2008,obesitya,Obesity prevalence among adults (%),-15.5,AGR,1077861.0
230,Ecuador,2008,obesitya,Obesity prevalence among adults (%),-15.5,DOE,48286.0
231,Ecuador,2008,obesitya,Obesity prevalence among adults (%),-15.5,HHS,150290.0
232,Ecuador,2008,obesitya,Obesity prevalence among adults (%),-15.5,IAF,1646716.0
233,Ecuador,2008,obesitya,Obesity prevalence among adults (%),-15.5,PC,3199786.0
234,Ecuador,2008,obesitya,Obesity prevalence among adults (%),-15.5,STATE,3787016.0
235,Ecuador,2008,obesitya,Obesity prevalence among adults (%),-15.5,TREAS,250365.0
236,Ecuador,2008,obesitya,Obesity prevalence among adults (%),-15.5,USAID,25202633.0
237,Ecuador,2008,u5mr,Under-five mortality rate,-2.05,AGR,1077861.0
238,Ecuador,2008,u5mr,Under-five mortality rate,-2.05,DOE,48286.0
239,Ecuador,2008,u5mr,Under-five mortality rate,-2.05,HHS,150290.0
240,Ecuador,2008,u5mr,Under-five mortality rate,-2.05,IAF,1646716.0
241,Ecuador,2008,u5mr,Under-five mortality rate,-2.05,PC,3199786.0
242,Ecuador,2008,u5mr,Under-five mortality rate,-2.05,STATE,3787016.0
243,Ecuador,2008,u5mr,Under-five mortality rate,-2.05,TREAS,250365.0
244,Ecuador,2008,u5mr,Under-five mortality rate,-2.05,USAID,25202633.0
245,Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DOE,14501.0
246,Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,HHS,176035.0
247,Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,IAF,974149.0
248,Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,PC,4165175.0
249,Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,STATE,6279428.0
250,Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,TREAS,80845.0
251,Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,USAID,31922311.0
252,Ecuador,2009,hh_wat_sm,Population using safely managed drinking water services (%),59.5,DOE,14501.0
253,Ecuador,2009,hh_wat_sm,Population using safely managed drinking water services (%),59.5,HHS,176035.0
254,Ecuador,2009,hh_wat_sm,Population using safely managed drinking water services (%),59.5,IAF,974149.0
255,Ecuador,2009,hh_wat_sm,Population using safely managed drinking water services (%),59.5,PC,4165175.0
256,Ecuador,2009,hh_wat_sm,Population using safely managed drinking water services (%),59.5,STATE,6279428.0
257,Ecuador,2009,hh_wat_sm,Population using safely managed drinking water services (%),59.5,TREAS,80845.0
258,Ecuador,2009,hh_wat_sm,Population using safely managed drinking water services (%),59.5,USAID,31922311.0
259,Ecuador,2009,life_ex,Life Expectancy,74.3,DOE,14501.0
260,Ecuador,2009,life_ex,Life Expectancy,74.3,HHS,176035.0
261,Ecuador,2009,life_ex,Life Expectancy,74.3,IAF,974149.0
262,Ecuador,2009,life_ex,Life Expectancy,74.3,PC,4165175.0
263,Ecuador,2009,life_ex,Life Expectancy,74.3,STATE,6279428.0
264,Ecuador,2009,life_ex,Life Expectancy,74.3,TREAS,80845.0
265,Ecuador,2009,life_ex,Life Expectancy,74.3,USAID,31922311.0
266,Ecuador,2009,obesitya,Obesity prevalence among adults (%),-15.5,DOE,14501.0
267,Ecuador,2009,obesitya,Obesity prevalence among adults (%),-15.5,HHS,176035.0
268,Ecuador,2009,obesitya,Obesity prevalence among adults (%),-15.5,IAF,974149.0
269,Ecuador,2009,obesitya,Obesity prevalence among adults (%),-15.5,PC,4165175.0
270,Ecuador,2009,obesitya,Obesity prevalence among adults (%),-15.5,STATE,6279428.0
271,Ecuador,2009,obesitya,Obesity prevalence among adults (%),-15.5,TREAS,80845.0
272,Ecuador,2009,obesitya,Obesity prevalence among adults (%),-15.5,USAID,31922311.0
273,Ecuador,2009,u5mr,Under-five mortality rate,-1.9500000000000002,DOE,14501.0
274,Ecuador,2009,u5mr,Under-five mortality rate,-1.9500000000000002,HHS,176035.0
275,Ecuador,2009,u5mr,Under-five mortality rate,-1.9500000000000002,IAF,974149.0
276,Ecuador,2009,u5mr,Under-five mortality rate,-1.9500000000000002,PC,4165175.0
277,Ecuador,2009,u5mr,Under-five mortality rate,-1.9500000000000002,STATE,6279428.0
278,Ecuador,2009,u5mr,Under-five mortality rate,-1.9500000000000002,TREAS,80845.0
279,Ecuador,2009,u5mr,Under-five mortality rate,-1.9500000000000002,USAID,31922311.0
280,Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,AGR,1250741.0
281,Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DOC,30766.0
282,Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DOE,205409.0
283,Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,FTC,8187.0
284,Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,IAF,763202.0
285,Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,PC,3586103.0
286,Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,STATE,11687519.0
287,Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,USAID,30871273.0
288,Ecuador,2010,hh_wat_sm,Population using safely managed drinking water services (%),60.0,AGR,1250741.0
289,Ecuador,2010,hh_wat_sm,Population using safely managed drinking water services (%),60.0,DOC,30766.0
290,Ecuador,2010,hh_wat_sm,Population using safely managed drinking water services (%),60.0,DOE,205409.0
291,Ecuador,2010,hh_wat_sm,Population using safely managed drinking water services (%),60.0,FTC,8187.0
