setting,year,indicator_abbr,indicator_name,Avg estimate,Funding Agency Acronym,Constant Dollar Amount (Previous Year)
Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DFC,0
Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOC,78370
Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOE,0
Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOL,7836724
Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOT,0
Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,EPA,0
Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,FTC,0
Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,HHS,0
Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,IAF,384091
Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,LIC,0
Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,MCC,0
Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,NSF,0
Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,PC,3306562
Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,STATE,20996897
Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,TDA,374331
Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,TREAS,0
Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,USAID,25160266
Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,ADF,0
Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,AGR,9485059
Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DFC,0
Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOC,0
Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOE,0
Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOL,0
Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOT,0
Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,EPA,0
Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,FTC,0
Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,HHS,0
Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,IAF,1900147
Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,LIC,0
Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,MCC,0
Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,NSF,0
Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,PC,3446561
Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,STATE,22026035
Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,TDA,0
Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,TREAS,0
Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,USAID,19313805
Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,ADF,0
Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,AGR,0
Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DFC,0
Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOC,2177
Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOE,148102
Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOL,117053
Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOT,0
Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,EPA,0
Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,FTC,0
Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,HHS,146131
Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,IAF,1957426
Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,LIC,0
Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,MCC,0
Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,NSF,0
Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,PC,3490134
Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,STATE,13827790
Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,TDA,0
Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,TREAS,0
Ecuador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,USAID,9911075
Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,ADF,0
Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,AGR,1077861
Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DFC,0
Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOC,0
Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOE,48286
Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOL,0
Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOT,0
Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,EPA,0
Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,FTC,0
Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,HHS,150290
Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,IAF,1646716
Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,LIC,0
Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,MCC,0
Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,NSF,0
Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,PC,3199786
Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,STATE,3787016
Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,TDA,0
Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,TREAS,250365
Ecuador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,USAID,25202633
Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,ADF,0
Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,AGR,0
Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DFC,0
Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DOC,0
Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DOE,14501
Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DOL,0
Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DOT,0
Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,EPA,0
Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,FTC,0
Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,HHS,176035
Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,IAF,974149
Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,LIC,0
Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,MCC,0
Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,NSF,0
Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,PC,4165175
Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,STATE,6279428
Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,TDA,0
Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,TREAS,80845
Ecuador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,USAID,31922311
Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,ADF,0
Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,AGR,1250741
Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DFC,0
Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DOC,30766
Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DOE,205409
Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DOL,0
Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DOT,0
Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,EPA,0
Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,FTC,8187
Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,HHS,0
Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,IAF,763202
Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,LIC,0
Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,MCC,0
Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,NSF,0
Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,PC,3586103
Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,STATE,11687519
Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,TDA,0
Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,TREAS,0
Ecuador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,USAID,30871273
Ecuador,2011,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,ADF,0
Ecuador,2011,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,AGR,1905801
Ecuador,2011,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DFC,0
Ecuador,2011,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DOC,0
Ecuador,2011,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DOE,258721
Ecuador,2011,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DOL,0
Ecuador,2011,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DOT,0
Ecuador,2011,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,EPA,0
Ecuador,2011,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,FTC,0
Ecuador,2011,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,HHS,81920
Ecuador,2011,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,IAF,361079
Ecuador,2011,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,LIC,0
Ecuador,2011,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,MCC,0
Ecuador,2011,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,NSF,0
Ecuador,2011,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,PC,4031102
Ecuador,2011,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,STATE,11933352
Ecuador,2011,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,TDA,0
Ecuador,2011,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,TREAS,0
Ecuador,2011,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,USAID,45500153
Ecuador,2012,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,ADF,0
Ecuador,2012,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,AGR,1212341
Ecuador,2012,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DFC,0
Ecuador,2012,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DOC,54248
Ecuador,2012,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DOE,210042
Ecuador,2012,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DOL,0
Ecuador,2012,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DOT,0
Ecuador,2012,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,EPA,0
Ecuador,2012,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,FTC,0
Ecuador,2012,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,HHS,0
Ecuador,2012,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,IAF,803598
Ecuador,2012,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,LIC,0
Ecuador,2012,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,MCC,0
Ecuador,2012,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,NSF,0
Ecuador,2012,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,PC,3567214
Ecuador,2012,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,STATE,10186002
Ecuador,2012,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,TDA,0
Ecuador,2012,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,TREAS,0
Ecuador,2012,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,USAID,12516294
Ecuador,2013,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,ADF,0
Ecuador,2013,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,AGR,0
Ecuador,2013,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DFC,0
Ecuador,2013,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOC,0
Ecuador,2013,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOE,366460
Ecuador,2013,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOL,0
Ecuador,2013,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOT,0
Ecuador,2013,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,EPA,0
Ecuador,2013,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,FTC,0
Ecuador,2013,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,HHS,0
Ecuador,2013,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,IAF,378893
Ecuador,2013,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,LIC,0
Ecuador,2013,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,MCC,0
Ecuador,2013,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,NSF,0
Ecuador,2013,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,PC,3374289
Ecuador,2013,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,STATE,18713984
Ecuador,2013,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,TDA,0
Ecuador,2013,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,TREAS,0
Ecuador,2013,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,USAID,26625128
Ecuador,2014,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,ADF,0
Ecuador,2014,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,AGR,0
Ecuador,2014,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DFC,0
Ecuador,2014,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOC,0
Ecuador,2014,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOE,115905
Ecuador,2014,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOL,0
Ecuador,2014,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOT,0
Ecuador,2014,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,EPA,0
Ecuador,2014,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,FTC,0
Ecuador,2014,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,HHS,0
Ecuador,2014,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,IAF,452290
Ecuador,2014,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,LIC,0
Ecuador,2014,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,MCC,0
Ecuador,2014,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,NSF,0
Ecuador,2014,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,PC,3516258
Ecuador,2014,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,STATE,11374427
Ecuador,2014,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,TDA,0
Ecuador,2014,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,TREAS,0
Ecuador,2014,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,USAID,17241821
Ecuador,2015,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,ADF,0
Ecuador,2015,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,AGR,0
Ecuador,2015,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DFC,0
Ecuador,2015,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOC,0
Ecuador,2015,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOE,0
Ecuador,2015,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOL,0
Ecuador,2015,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOT,0
Ecuador,2015,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,EPA,0
Ecuador,2015,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,FTC,0
Ecuador,2015,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,HHS,0
Ecuador,2015,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,IAF,505478
Ecuador,2015,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,LIC,0
Ecuador,2015,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,MCC,0
Ecuador,2015,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,NSF,0
Ecuador,2015,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,PC,3900788
Ecuador,2015,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,STATE,24815365
Ecuador,2015,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,TDA,0
Ecuador,2015,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,TREAS,0
Ecuador,2015,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,USAID,8782515
